Kernel,Filesize,Blocksize,Round,Write,Read
4.15.0-42-generic,524288,512,1,13500000,29000000
4.15.0-42-generic,524288,512,2,13300000,23300000
4.15.0-42-generic,524288,512,3,19500000,17700000
4.15.0-42-generic,524288,512,4,17900000,19000000
4.15.0-42-generic,524288,512,5,17600000,20100000
4.15.0-42-generic,524288,512,6,12900000,20200000
4.15.0-42-generic,524288,512,7,19200000,19700000
4.15.0-42-generic,524288,512,8,14500000,26200000
4.15.0-42-generic,524288,512,9,14400000,22100000
4.15.0-42-generic,524288,512,10,18500000,18100000
4.15.0-42-generic,524288,512,11,12300000,19700000
4.15.0-42-generic,524288,512,12,15900000,19600000
4.15.0-42-generic,524288,512,13,19400000,21100000
4.15.0-42-generic,524288,512,14,18100000,23800000
4.15.0-42-generic,524288,512,15,19900000,32400001
4.15.0-42-generic,524288,512,16,17600000,30300000
4.15.0-42-generic,524288,512,17,20200000,29200000
4.15.0-42-generic,524288,512,18,19200000,25700000
4.15.0-42-generic,524288,512,19,17400000,21300000
4.15.0-42-generic,524288,512,20,16900000,36200000
4.15.0-42-generic,524288,512,21,18700000,24300000
4.15.0-42-generic,524288,512,22,19900000,29200000
4.15.0-42-generic,524288,512,23,20600000,17900000
4.15.0-42-generic,524288,512,24,20600000,16500000
4.15.0-42-generic,524288,512,25,18900000,33400001
4.15.0-42-generic,524288,512,26,16300000,23600000
4.15.0-42-generic,524288,512,27,13800000,16200001
4.15.0-42-generic,524288,512,28,17900000,6600000
4.15.0-42-generic,524288,512,29,15700000,21200000
4.15.0-42-generic,524288,512,30,18000000,27500000
4.15.0-42-generic,524288,512,31,12600000,22000000
4.15.0-42-generic,524288,512,32,17200000,19100000
4.15.0-42-generic,524288,512,33,17800000,23200000
4.15.0-42-generic,524288,512,34,17100000,20300000
4.15.0-42-generic,524288,512,35,17100000,27300000
4.15.0-42-generic,524288,512,36,16600000,19300000
4.15.0-42-generic,524288,512,37,12700000,23400000
4.15.0-42-generic,524288,512,38,21000000,28500000
4.15.0-42-generic,524288,512,39,20400000,20100000
4.15.0-42-generic,524288,512,40,20800000,23200000
4.15.0-42-generic,524288,512,41,20600000,24900000
4.15.0-42-generic,524288,512,42,19000000,20200000
4.15.0-42-generic,524288,512,43,12900000,23500000
4.15.0-42-generic,524288,512,44,17400000,20000000
4.15.0-42-generic,524288,512,45,18700000,23100000
4.15.0-42-generic,524288,512,46,16500000,20000000
4.15.0-42-generic,524288,512,47,12000000,31300000
4.15.0-42-generic,524288,512,48,17200000,17800000
4.15.0-42-generic,524288,512,49,15300000,19900000
4.15.0-42-generic,524288,512,50,16200001,18900000
4.15.0-42-generic,524288,512,51,12900000,17900000
4.15.0-42-generic,524288,512,52,12200000,16300000
4.15.0-42-generic,524288,512,53,17600000,20600000
4.15.0-42-generic,524288,512,54,16300000,21000000
4.15.0-42-generic,524288,512,55,15600000,21200000
4.15.0-42-generic,524288,512,56,15900000,10700000
4.15.0-42-generic,524288,512,57,16400000,12600000
4.15.0-42-generic,524288,512,58,18400000,21400000
4.15.0-42-generic,524288,512,59,17800000,17900000
4.15.0-42-generic,524288,512,60,17500000,26000000
4.15.0-42-generic,524288,512,61,16400000,21000000
4.15.0-42-generic,524288,512,62,18000000,30600000
4.15.0-42-generic,524288,512,63,12300000,15600000
4.15.0-42-generic,524288,512,64,20000000,25600000
4.15.0-42-generic,524288,512,65,12700000,17100000
4.15.0-42-generic,524288,512,66,13100000,32100000
4.15.0-42-generic,524288,512,67,13300000,20800000
4.15.0-42-generic,524288,512,68,19100000,20200000
4.15.0-42-generic,524288,512,69,9900000,27600000
4.15.0-42-generic,524288,512,70,11900000,21300000
4.15.0-42-generic,524288,512,71,17300000,20300000
4.15.0-42-generic,524288,512,72,19600000,18100000
4.15.0-42-generic,524288,512,73,18400000,22100000
4.15.0-42-generic,524288,512,74,20300000,20100000
4.15.0-42-generic,524288,512,75,20000000,21000000
4.15.0-42-generic,524288,512,76,13100000,28700000
4.15.0-42-generic,524288,512,77,12900000,31800000
4.15.0-42-generic,524288,512,78,19600000,25000000
4.15.0-42-generic,524288,512,79,20600000,21700000
4.15.0-42-generic,524288,512,80,13100000,35500000
4.15.0-42-generic,524288,512,81,18100000,21400000
4.15.0-42-generic,524288,512,82,17700000,24400000
4.15.0-42-generic,524288,512,83,12700000,16900000
4.15.0-42-generic,524288,512,84,13300000,20500000
4.15.0-42-generic,524288,512,85,18600000,18400000
4.15.0-42-generic,524288,512,86,13900000,21600000
4.15.0-42-generic,524288,512,87,18800000,25200000
4.15.0-42-generic,524288,512,88,13000000,18100000
4.15.0-42-generic,524288,512,89,19800000,19900000
4.15.0-42-generic,524288,512,90,13600000,20000000
4.15.0-42-generic,524288,512,91,13500000,20400000
4.15.0-42-generic,524288,512,92,13700000,22900000
4.15.0-42-generic,524288,512,93,15200000,24800000
4.15.0-42-generic,524288,512,94,17500000,20700000
4.15.0-42-generic,524288,512,95,16900000,17800000
4.15.0-42-generic,524288,512,96,20800000,17300000
4.15.0-42-generic,524288,512,97,12400000,19400000
4.15.0-42-generic,524288,512,98,20500000,19800000
4.15.0-42-generic,524288,512,99,18100000,20000000
4.15.0-42-generic,524288,512,100,20400000,26900000
4.15.0-42-generic,524288,2048,1,15600000,25900000
4.15.0-42-generic,524288,2048,2,17900000,15600000
4.15.0-42-generic,524288,2048,3,21300000,29700000
4.15.0-42-generic,524288,2048,4,16500000,24400000
